"id","technology_id","city_id","start_experience_range","end_experience_range","candidate_id","is_main_tech","state_initials"
"467f3d62-7d0b-4681-9cee-f4bc5e45340e","98dd1993-60b4-44ad-98b9-4b19de9fcd1b","4b829aa5-6115-4cdb-9587-0e4f1668d906",5,6,e92ea627-9b3c-46c2-9046-568e05ad7a53,false,PR
"832d6fc7-cdd2-4efc-8d3b-5b7e30956f59","0995a25a-0742-4631-9169-76097beb307e",a47e9c2a-c683-40c1-aaaf-07ee431a14a1,3,4,"874f4e65-d79d-41ea-a98a-daae5114bf6c",true,SP
"728d3ca1-d0e0-4e2c-937b-d5e5fa9bdd74","13fa716d-3467-4889-bef9-55b7a224225b",a47e9c2a-c683-40c1-aaaf-07ee431a14a1,3,4,"874f4e65-d79d-41ea-a98a-daae5114bf6c",false,SP
"37a57491-a103-4491-9beb-b41fbe0585cf","4719e667-7d51-4210-a767-7a8a3e06e20d",a47e9c2a-c683-40c1-aaaf-07ee431a14a1,3,4,"874f4e65-d79d-41ea-a98a-daae5114bf6c",false,SP
"3d361550-5913-46b8-a6a3-4d3e9ea3a34e",e90bc524-e19c-4fd6-b01a-0acfb53b31ce,a47e9c2a-c683-40c1-aaaf-07ee431a14a1,3,4,"874f4e65-d79d-41ea-a98a-daae5114bf6c",true,SP
a3e3ff5f-6d2c-4ad0-a304-7dd43f6394e9,c4379e3f-4898-4ce1-88c8-5f5cd9f64419,a47e9c2a-c683-40c1-aaaf-07ee431a14a1,3,4,"874f4e65-d79d-41ea-a98a-daae5114bf6c",false,SP
"630690b0-35cf-42e8-9e50-c43cce7cdb6a","3cc02517-5304-4405-bb55-acd4c90b9960",a47e9c2a-c683-40c1-aaaf-07ee431a14a1,3,4,"874f4e65-d79d-41ea-a98a-daae5114bf6c",false,SP
ce861514-8ab7-4eb7-b365-e21b0eae7675,ee86754d-fe6e-4146-bd6b-f09abe80d12c,a47e9c2a-c683-40c1-aaaf-07ee431a14a1,3,4,"874f4e65-d79d-41ea-a98a-daae5114bf6c",false,SP
"943f9ba0-ffb2-4b59-85de-83394777ffbd",c4379e3f-4898-4ce1-88c8-5f5cd9f64419,"20c6d0ba-cd8a-461e-8506-49748992c61c",2,3,"7e81110f-c598-4806-9310-be99cd2c7232",false,SP
"97fb6a0a-d590-4fbf-b687-feba75e4e957",ff09f016-3884-4ab3-8698-28c4dd9d8ac4,"20c6d0ba-cd8a-461e-8506-49748992c61c",2,3,"7e81110f-c598-4806-9310-be99cd2c7232",false,SP
"0b0e2ed3-0521-4cb4-b991-2fba7f9ec065","309aa1d1-9a4f-4ac7-b2fe-977a45c3b759","20c6d0ba-cd8a-461e-8506-49748992c61c",2,3,"7e81110f-c598-4806-9310-be99cd2c7232",false,SP
fceab5f3-2e91-4968-aa33-f44b2c6e9f48,"0b9550ea-4612-47a3-af54-da4d46088a4f","20c6d0ba-cd8a-461e-8506-49748992c61c",2,3,"7e81110f-c598-4806-9310-be99cd2c7232",false,SP
"408f20d1-b8dd-4a85-9258-854b026e4709",dc41a3bf-0d6e-4d00-9e65-bdb97d2aaabe,"20c6d0ba-cd8a-461e-8506-49748992c61c",2,3,"7e81110f-c598-4806-9310-be99cd2c7232",false,SP
"4599e458-16d9-4493-a0bf-03232c81995a","17c0359c-7a81-4736-bf1f-db556d2a9ad4","20c6d0ba-cd8a-461e-8506-49748992c61c",2,3,"7e81110f-c598-4806-9310-be99cd2c7232",false,SP
